Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
404,Anfernee Simons,SG,20,POR,27,1,21.6,3.7,8.7,0.419,1.4,4.1,0.339,2.3,4.6,0.492,0.5,1.2,1.6,0.744,0.3,1.6,1.9,1.6,0.4,0.1,1,2.1,9.9
405,Marcus Smart,SG,25,BOS,20,15,31.8,4.1,10.6,0.387,2.1,6.3,0.333,2,4.3,0.465,0.486,1.5,1.7,0.879,1,2.4,3.4,4.6,1.3,0.5,1.3,2.3,11.8
406,Dennis Smith,PG,22,NYK,18,1,17,2.1,6.2,0.33,0.6,1.9,0.314,1.4,4.3,0.338,0.379,0.8,1.6,0.517,0.7,1.4,2.1,2.8,0.4,0.3,1.6,2.1,5.6
407,Ish Smith,PG,31,WAS,25,10,25.2,4,8.8,0.455,0.9,2.5,0.355,3.1,6.3,0.494,0.505,0.6,0.9,0.682,0.5,2.4,2.9,4.4,0.8,0.4,1.4,1.7,9.5
408,Tony Snell,SF,28,DET,23,21,25.9,2.9,6.2,0.472,2,4.5,0.452,0.9,1.7,0.526,0.637,0.4,0.4,1,0.2,1.6,1.8,1.4,0.4,0.1,0.4,1.7,8.3
409,Omari Spellman,PF,22,GSW,27,0,18.2,2.6,6,0.436,0.7,2,0.352,1.9,4,0.477,0.494,1.4,1.7,0.826,2.1,3.2,5.3,1,0.6,0.6,1.3,1,7.4
410,Max Strus,SG,23,CHI,2,0,3,1,1.5,0.667,0,0.5,0,1,1,1,0.667,0.5,0.5,1,0.5,0,0.5,0,0,0,0,0.5,2.5
411,Edmond Sumner,PG,24,IND,5,2,15,2,4.4,0.455,0.2,1,0.2,1.8,3.4,0.529,0.477,0.6,1,0.6,0.2,0.6,0.8,1.8,1,0.2,0.4,1.8,4.8
412,Caleb Swanigan,PF,22,SAC,5,0,2.6,0.2,0.4,0.5,0,0,,0.2,0.4,0.5,0.5,0.2,0.4,0.5,0.2,0.8,1,0,0.2,0.4,0.8,0.6,0.6
413,Jayson Tatum,PF,21,BOS,24,24,34.2,7.4,18.2,0.406,2.5,6.9,0.364,4.9,11.3,0.432,0.475,3.4,4,0.835,1.2,5.8,7,2.9,1.4,0.8,2.2,2.3,20.6
414,Jeff Teague,PG,31,MIN,21,12,29.7,4.6,9.8,0.466,1,2.6,0.382,3.6,7.2,0.497,0.517,4.3,4.9,0.874,0.6,2.2,2.8,6.8,0.9,0.3,2.1,2.1,14.4
415,Garrett Temple,SG,33,BRK,27,18,28.6,3.7,9.3,0.4,2.1,6.3,0.341,1.6,3,0.525,0.516,0.9,1.2,0.758,0.5,2.6,3.1,2.5,0.9,0.5,1.1,1.9,10.5
416,Daniel Theis,C,27,BOS,21,20,21.9,3,5.6,0.534,0.3,1,0.333,2.7,4.6,0.577,0.564,1,1.5,0.688,1.6,4.7,6.3,1.3,0.4,1.5,0.8,3.1,7.4
417,Isaiah Thomas,PG,30,WAS,18,15,24.9,5.1,10.9,0.462,2.2,5,0.433,2.9,5.9,0.486,0.561,0.9,1.1,0.8,0.2,1.6,1.8,5.1,0.4,0.3,2.2,2.3,13.2
418,Khyri Thomas,SG,23,DET,2,0,3,0,0,,0,0,,0,0,,,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5
419,Matt Thomas,SG,25,TOR,12,0,11.3,1.7,3.1,0.541,1.2,2.2,0.538,0.5,0.9,0.545,0.73,0.3,0.4,0.6,0.1,1,1.1,0.3,0.3,0,0.3,1,4.8
420,Tristan Thompson,C,28,CLE,26,26,31,5.8,11.1,0.521,0.1,0.3,0.429,5.7,10.8,0.523,0.526,1.7,3.1,0.538,4,5.7,9.7,2.3,0.8,1.1,1.7,2.4,13.3
